term,abbreviation,synonyms,related,definition,audience,images,uuid
interferon,IFN,,"antigen, cytokine","Cytokines secreted by certain cells in response to an antigen, usually a virus. Interferon signals neighboring cells into action and inhibits the growth of malignant cells. There are three types of interferons: alpha, beta, and gamma. Laboratory-made interferons are used to treat certain cancers and opportunistic infections.",,,07749584-49d4-4ec5-bce4-1aa51920aadd
interleukin-2,IL-2,,cytokine,"A cytokine that stimulates the growth and replication of immune cells, specifically B lymphocytes (B cells) and T lymphocytes (T cells). Laboratory-made interleukin-2 (IL-2) is used to treat certain cancers.",,,321556ca-6c23-4b5c-aabe-dfa0936ce0f0
interleukin-7,IL-7,,cytokine,A cytokine that prompts the immune system to make more B lymphocytes (B cells) and T lymphocytes (T cells). Laboratory-made interleukin-7 (IL-7) coupled with anti-retroviral therapy (ART) is being studied as a potential treatment for HIV.,Advanced,,575dca83-6d76-4cfa-b492-84fe5e772610
International Maternal Pediatric Adolescent AIDS Clinical Trials,IMPAACT,,"clinical trial, Pediatric AIDS clinical trials Group","A global collaboration of institutions, investigators, and other partners that conduct clinical trials on interventions to treat and prevent HIV infection and its consequences in infants, children, adolescents, and pregnant/postpartum women.",Advanced,,8a32d1c1-1e73-41f2-8736-d25edd4ef54c
International Network for Strategic Initiatives in Global HIV Trials,INSIGHT,,clinical trial,A clinical trials network that conducts studies worldwide in order to define optimal strategies for the management of HIV and other infectious diseases.,Advanced,,6ae8516b-8dee-4d69-96f0-472fb09d805d
interstitial nephritis,,,kidneys,"A kidney disorder in which the spaces between the kidney tubules (tiny urine-collecting tubes) become swollen. Interstitial nephritis can impair kidney function, including a kidney's ability to filter waste and extra fluid from the body.",,,bd294e4b-0f49-4802-9a64-93b4374d4dc7
intervention,,,,"A measure taken to prevent or treat disease or to improve health in other ways. The term is used to describe the process or action that is the focus of a clinical trial. Examples of interventions include vaccines, drugs, medical devices, and palliative care.",,,8870181b-11db-4559-ad1c-e624b93b4833
interventional trial,,,clinical trial,"A type of clinical trial. In interventional trials, participants are assigned to receive one or more interventions (or a placebo or no intervention) so that researchers can evaluate the effects of the interventions on biomedical or health-related outcomes.",,,260fb192-b871-4892-8b92-4a3a14004ff5
intracytoplasmic sperm injection,ICSI,,"discordant couple, sperm washing","A type of in vitro (outside the body) fertilization that is used to overcome male infertility. Intracytoplasmic sperm injection (ICSI) involves injecting a single sperm into an egg that has been removed from a woman’s ovary. The fertilized egg can then be returned to the woman's uterus. ICSI, which is always combined with sperm washing, can be considered as a reproductive option for an HIV discordant couple. ICSI is considered when the man is the HIV-infected partner and insemination with donor sperm from an HIV-uninfected male is not an option.",Advanced,,7bc78b07-64da-4e5e-a5d2-5ac7aebe5c5d
intradermal,,,,Within or between the layers of the skin. Some drugs are given as intradermal injections.,,,0df53f28-5c81-4a04-b2ad-fa02100dcd3c
intramuscular,IM,,,Situated or occurring inside a muscle. An intramuscular (IM) injection is an injection given directly into a muscle.,,,c344e5f1-551b-4cd9-8b75-f771cae76626
intrapartum,,,"antepartum, postpartum","The time period spanning childbirth, from the onset of labor through delivery of the placenta. Intrapartum can refer to both the woman and the fetus.",,https://aidsinfo.nih.gov/images/glossaryimages/Pregnancy-timeline-600.jpg,0dfd1e12-c864-4913-8353-af8f6fb52154
integrase strand transfer inhibitor,INSTI,integrase inhibitor,"drug class, integrase",anti-retroviral (ARV) HIV drug class. Integrase strand transfer inhibitors (INSTIs) block integrase (an HIV enzyme). HIV uses integrase to insert (integrate) its viral DNA into the DNA of the host CD4 cell. Blocking integrase prevents HIV from replicating.,Advanced,"https://aidsinfo.nih.gov/images/glossaryimages/Integrase-Inhibitors-600.jpg, https://aidsinfo.nih.gov/images/glossaryimages/Integration-(Step-4)-600.jpg",a7d61787-ebec-4d71-8a22-22998c5cd6c9
intravaginal,,,,Within or introduced into the vagina.,,,ee65f074-aff1-4842-85e5-0d28f7664e40
intravenous,IV,,,Situated or occurring inside a vein. An intravenous (IV) injection is an injection given directly into a vein.,,,921162d6-3a4e-4a6b-88c3-f89dc73663a0
intrauterine insemination,IUI,artificial insemination,discordant couple,"A medical procedure used to help a woman become pregnant. Intrauterine insemination (IUI) involves placing sperm directly in a woman's uterus the day after ovulation. For a discordant couple in which the HIV-infected partner is female, IUI is the most effective way to reduce the risk of HIV transmission when trying to conceive.",Advanced,,359d98e4-da74-40a6-8899-4ab9614b1f5a
invasive,,,,"Pertaining to an infection or disease that spreads to surrounding tissues or to other parts of the body. Invasive can also refer to a medical procedure that involves entering a part of the body, such as through an incision.",,,f63f84d0-5a7e-49f3-bb1a-d8109d9413b0
investigational drug,,experimental drug,Food and Drug Administration,A drug that is approved by the Food and Drug Administration (FDA) for testing in humans for a specified condition but not approved for commercial marketing and sale.,,,524e26ae-4e44-4942-b382-819ce5d85223
investigational new drug,IND,,"Food and Drug Administration, Investigational Drug",A drug sponsor’s request to the Food and Drug Administration (FDA) for approval to test an investigational drug in humans (Phase 1-4 clinical trials). FDA review of an investigational new drug (IND) application ensures that the drug is safe for testing in humans and that testing will not put study participants at unreasonable risk.,,https://aidsinfo.nih.gov/images/glossaryimages/Clinical-Trial-600.jpg,6d729a40-d08d-46b3-84d3-c6e31428c588
ischemia,,,,"A decrease in blood flow to an organ or tissue of the body, usually due to a blocked artery.",,,9973deab-424d-417d-8aa9-73e5f561c5f4
jaundice,,,"bilirubin, liver","Yellowing of the skin, whites of the eyes, or mucous membranes. Jaundice is a sign that the blood contains too much bilirubin, a substance produced when the liver breaks down red blood cells. It usually indicates liver dysfunction. Jaundice may be caused by liver diseases, such as hepatitis and cirrhosis; blood diseases; infections; or blocked bile ducts (gallbladder disease). Jaundice may also be caused by certain anti-retroviral (ARV) drugs.",,,08909aef-17ec-434d-9697-c44d0dc83a96
intravenous immunoglobulin,IVIG,immune serum globulin,antibody,A solution of antibodies prepared for injection into a person’s vein. Intravenous immunoglobulin (IVIG) is composed of antibodies removed from the blood of healthy donors and then pooled together and purified. IVIG is approved for use in children infected with HIV to reduce the risk of serious bacterial infections.,Advanced,,04656c74-8aa6-415a-a919-a81acca4a0ce
Kaposi's sarcoma,KS,,"AIDS-defining condition, Kaposi's sarcoma-associated herpesvirus","A rare type of cancer characterized by the abnormal growth of cells that line lymph and blood vessels. Kaposi sarcoma (KS) causes red or purple patches of tissue (lesions) to grow under the skin and in the lining of the mouth, nose, and throat. Lesions may also develop in the digestive tract, liver, or lungs. KS generally occurs in people with weakened immune systems. In people with HIV, KS is an AIDS-defining condition.",Advanced,,9a6676e3-b9f9-4396-8016-fd5fd1fead50
Karnofsky performance status,,Karnofsky score,,"A way to rate a person's ability to perform activities of daily living. The Karnofsky performance status is used to evaluate whether a person should receive a therapy, whether a therapy should be adjusted or discontinued, and whether a person may participate in a clinical trial. The scores range from 0 to 100, with a higher score indicating that a person is better able to perform daily activities.",,,0ae935f6-0f1e-497a-a8ee-f077095d8fd3
kernicterus,,excipient hyperbilirubinemia,"bilirubin, jaundice","A rare type of brain damage associated with high levels of bilirubin. Kernicterus is usually seen only in infants with untreated jaundice, and it very rarely occurs in adults. Some anti-retroviral (ARV) drugs are not approved for use in infants because of the risk of kernicterus.",,,46b9e1ea-9396-45a5-821c-df8d319ce4f4
kidneys,,,,"A pair of bean-shaped organs located in the abdomen, near the middle of the back. The kidneys filter the blood to remove waste products and extra water. The wastes and water become urine, which is eliminated from the body. The kidneys also release hormones, which help with regulating blood pressure, stimulating the body to produce red blood cells, and maintaining a normal chemical balance in the body.",,,b544d3cf-98ca-4a12-8b66-541cd7d1f437
lactic acid,,,Lactic Acidosis,Acid formed by the breakdown of glucose when oxygen levels in the body are low. The body uses lactic acid for energy.,,,1252bce6-c6b3-4416-ba9e-17a98542caac
lactic acidosis,,,,"A condition in which lactic acid builds up in the blood. If left untreated, lactic acidosis can be fatal. Symptoms, if any, can include nausea, abdominal pain, muscle ache and weakness, and unintentional weight loss. Lactic acidosis may be caused by advanced HIV infection or anti-retroviral (ARV) drugs.",Advanced,,594aabf6-fc9a-405c-90f3-59c4006628ae
Kaposi's sarcoma-associated herpesvirus,KSHV,human herpesvirus 8,"herpesviruses, Kaposi sarcoma","A type of herpesvirus that causes Kaposi sarcoma. Kaposi sarcoma herpesvirus (KSHV) is primarily transmitted through genital fluids and saliva. Most people infected with KSHV do not develop Kaposi sarcoma. In people with weakened immune systems, including people with HIV, the viral infection is much more likely to advance to Kaposi sarcoma than in people with healthy immune systems.",Advanced,,d7102082-99e2-4e14-9ece-70122bfa8d51
latent tuberculosis infection,,,"Tuberculosis, Tuberculosis Disease","When a person is infected with Mycobacterium tuberculosis, but the immune system prevents the bacteria from growing. Because the bacteria are inactive, the person does not feel sick and does not have any symptoms of tuberculosis (TB). A person with latent TB infection cannot spread TB to others. Without treatment, latent TB infection can advance to TB disease, especially in people with weakened immune systems.",,,b66bb37c-09e6-4132-a447-bbf1bb29b598
leishmaniasis,,,opportunistic infection,"A disease caused by the protozoan Leishmania, which is usually transmitted by the bites of infected sand flies. There are three major types of leishmaniasis: cutaneous, mucocutaneous, and visceral. Visceral leishmaniasis affects internal organs and is characterized by fever, weight loss, enlargement of the spleen and liver, and a drop in blood cell production with possible anemia. In people with AIDS, visceral leishmaniasis is the most common type, and, if left untreated, it is nearly always fatal.",,,38fc124a-e2e3-4b06-ae25-952070be4330
lentivirus,,,retrovirus,"A subgroup of retroviruses, which includes HIV.",Advanced,,8ec75386-48fb-4dd3-ad6a-79a151689d8b
lesion,,,,"Damage or an abnormal structural change to a tissue, organ, or body part because of injury or disease. Examples of a lesion include a wound or an infected or diseased patch of skin.",,,4d50dd55-2e39-4af4-8378-b6fd9f0f0a7a
leukocytosis,,,white blood cell,An increase in the number of white blood cells. Leukocytosis often occurs during acute infection or inflammation.,,,513c6fc1-b5b2-4a04-87c1-55f16b3aa2e5
leukopenia,,,white blood cell,A low or reduced number of white blood cells.,,,599003f1-0db4-4f08-b205-197d8281b348
LGBTQ,,,,"Acronym for lesbian, gay, bisexual, transgender, and questioning.",,,87758fee-9dfb-460c-9927-af5554148f8a
latent HIV reservoir,,,viral latency,"Resting CD4 cells (or other cells) that are infected with HIV but not actively producing HIV. Latent HIV reservoirs are established during the earliest stage of HIV infection. Although anti-retroviral therapy (ART) can reduce the level of HIV in the blood to an undetectable level, latent reservoirs of HIV continue to survive. When a latently infected cell is reactivated, the cell begins to produce HIV again. For this reason, ART cannot cure HIV infection.",Advanced,,1695e4f7-9c06-4eb3-9c87-82a9414df460
linear gingival erythema,,"HIV gingivitis, red-band gingivitis",,A condition in which the edge of the gums near the teeth become red and inflamed. Linear gingival erythema is common with HIV infection.,Advanced,,8cfd344d-786e-4143-aff9-c240e0568907
lipid,,,,Fat or fat-like substances found in the blood and body tissues. Lipids serve as building blocks for cells and as a source of energy for the body. cholesterol and triglycerides are types of lipids.,,,009efbd7-1e53-4b5f-b740-8d0db0df131b
lipid profile,,Coronary Risk Profile,,A group of blood tests that measure cholesterol and triglyceride levels. Test results are used to determine a person's risk for heart disease or stroke. High lipid levels may be associated with use of some anti-retroviral (ARV) drugs.,,,d04c4bfc-17db-4228-9f24-525ca4de63aa
lipoatrophy,,,Lipodystrophy Syndrome,"Loss of fat from specific areas of the body, especially from the face, arms, legs, and buttocks. Use of some anti-retroviral (ARV) drugs may cause lipoatrophy.",,,df60c664-0ebc-4ebf-840e-dff62c69221b
lipodystrophy syndrome,,,"dorsocervical fat pad, lipoatrophy, lipohypertrophy, lipoma, wasting syndrome",The changes in body fat (loss and/or gain of body fat) and associated metabolic disturbances seen in some people with HIV. Lipodystrophy syndrome may be linked to use of some anti-retroviral (ARV) drugs.,Advanced,,ced9c09f-adda-4c3f-8f3b-aab60695f654
lipohypertrophy,,hyperadiposity,lipodystrophy syndrome,"Abnormal accumulation of fat, particularly within the abdominal cavity, the upper back (buffalo hump), and subcutaneous tissue (peripheral lipomatosis). Use of some anti-retroviral (ARV) drugs may cause lipohypertrophy.",,,4a194ff2-65f4-4013-aa79-44356f6fb2c1
lipoma,,,lipohypertrophy,,,,ed2943dc-945d-4c2a-ba7f-128441ff7915
live-attenuated,,attenuated,vaccine,"A disease-causing virus or bacterium that is weakened in a laboratory so it cannot cause disease (or only mild disease). Live attenuated viruses are often used as vaccines because, although weakened, they can stimulate a strong immune response. However, because of remote possibility that a live attenuated virus could cause disease, people infected with HIV should not receive most live attenuated vaccines.",Living with HIV,,05995a66-5cce-4004-85c3-af16dd5b167e
liver,,,hepatitis,"An organ of the digestive system that is located in the upper abdomen on the right side. Major functions of the liver include converting food into energy, producing bile (a liquid that helps with digestion), processing drugs and alcohol, removing toxins from the body, filtering blood, and producing blood cells and blood-clotting components.",,,afdf1e7a-423d-40b4-aaf5-9c5577cfe6cc
liver function test,,,"alanine aminotransferase, albumin, aspartate aminotransferase, bilirubin, gamma-glutamyl transpeptidase, hepatotoxicity, liver","A group of blood tests used to detect, evaluate, and monitor liver disease or damage. A liver function test measures enzymes, proteins, and other substances that are produced or excreted by the liver, such as alanine aminotransferase (ALT), alkaline phosphatase (ALP), aspartate aminotransferase (AST), gamma-glutamyl transpeptidase (GGT), bilirubin, and albumin.",,,1c593a31-c7cd-4be5-bbf9-1ba1560c226b
localized,,,systemic,Affecting only a specific or limited part of the body rather than the entire body.,,,24cd4340-6fcb-43d2-af77-5be68e72596c
log10,,"common logarithm, log, logarithm","viral load, viral load test","A mathematical term used to describe changes in viral load (HIV RNA). For example, if the viral load is 20,000 copies/mL, then a 1-log increase equals a 10-fold (10 times) increase, or 200,000 copies/mL. A 2-log increase equals a 100-fold increase, or 2,000,000 copies/mL.",,,b187425f-26b6-4a77-9500-544b296370df
long-term non-progressors,,,,"A small group of people infected with HIV who do not take anti-retroviral therapy (ART) and still maintain CD4 counts in the normal range indefinitely. The CD4 count is the strongest predictor of HIV progression. A CD4 count less than 200 cells/mm³ indicates that a person has AIDS. In general, the time from infection with HIV to the development of AIDS is approximately 10 to 12 years.",Newly Infected,https://aidsinfo.nih.gov/images/glossaryimages/Long-Term-Nonprogressor-600.jpg,5e016dd8-bb60-4dc6-95bc-f8dfe0a37992
lymph,,,Lymph Nodes,"A clear-to-yellowish fluid that circulates throughout the body. In addition to its fluid component, lymph consists of white blood cells (especially lymphocytes) and a small concentration of red blood cells and proteins. As lymph circulates, it picks up unwanted materials, such as bacteria and dead cells, which are then filtered through the lymph nodes. Lymph also supplies mature lymphocytes to the blood.",Advanced,,4d19e433-fe1a-4291-bbaa-9db5d7d52cda
lymph nodes,,,"lymph, lymphatic system, lymphocyte","Very small organs of the lymphatic system. Lymph nodes are located in many areas of the body, mainly in the neck, under the arms, and in the groin. Lymph nodes play a crucial role in the immune system. When lymph is filtered through the lymph nodes, foreign substances are trapped and destroyed by the lymphocytes that line the walls of the lymph nodes.",Newly Infected,,2bdb6c4d-bbef-40e8-9c72-b53706f9e591
lymphadenopathy,,,Lymph Nodes,"Abnormal enlargement of lymph nodes, usually associated with an infection or disease. Lymphadenopathy may also occur as part of a hypersensitivity reaction to certain anti-retroviral (ARV) drugs.",Living with HIV,,7fd96aff-1ef0-4632-bcc2-4823e1ff6075
lymphatic system,,,,"A network of organs, nodes, ducts, and vessels that produce and transport lymph from the body’s tissues to the bloodstream. The lymphatic system helps to maintain fluid balance in the tissues and blood; to supply nutrients, oxygen, and hormones to cells; to transport fats, proteins, and white blood cells to the blood; and to fight infection and filter out foreign organisms and waste products.",Advanced,,c7159df4-d291-46c1-be46-c904f574a329
lymphocyte,,,white blood cell,"A type of white blood cell. Most lymphocytes can be classified as T lymphocytes (T cells), B lymphocytes (B cells), or natural killer cells. Lymphocytes are found in the blood, lymph, and lymphoid tissue and help the body fight infection.",Advanced,,38795f20-171a-47e8-a61e-22b6712fc6c6
lymphocyte proliferation assay,,,Antigen,A laboratory test that measures the ability of lymphocytes to replicate (proliferate) when exposed to an antigen.,Living with HIV,,5fdc72d3-6b1a-457f-a7f8-27f18f169178
lymphogranuloma venereum,LGV,,sexually transmitted infection,A chronic infection of the lymphatic system caused by three strains of the bacterium Chlamydia trachomatis. Lymphogranuloma venereum (LGV) is a sexually transmitted infection. Symptoms include genital or rectal ulcers. LGV may increase the risk for sexual transmission of HIV.,Advanced,,5aa08d61-20fd-45a1-aead-caacb5f71ad8
lymphoid interstitial pneumonitis,LIP,,AIDS-defining condition,"Inflammation and possible scarring of the tissue that surrounds the air sacs of the lungs (lung interstitium). Symptoms of lymphoid interstitial pneumonitis (LIP) include fever, cough, and difficult breathing (dyspnea). LIP is associated with autoimmune diseases, lymphoproliferative disorders, and certain viral infections, such as HIV or Epstein-Barr virus. LIP is an AIDS-defining condition in children infected with HIV who are 13 years or younger.",Advanced,,3fd736d2-0ea3-40f6-a16d-aaa50769dff4
lymphoma,,,"AIDS-defining condition, Lymphatic System","A type of cancer that starts in the tissues of the lymphatic system, including the lymph nodes, spleen, and bone marrow. In people infected with HIV, certain lymphomas, such as Burkitt lymphoma, are AIDS-defining conditions.",Advanced,,80fcad25-0d0e-4d33-8788-f224eabffc9f
lymphopenia,,,,Lower-than-normal number of lymphocytes (a type of white blood cell) in the blood.,Advanced,,9b3de14c-431f-4d9f-9cb8-9bd289138c70
lymphoproliferative response,,,Lymphocyte,An immune system response that stimulates lymphocytes (a type of white blood cell) to multiply rapidly.,Advanced,,db51b411-3c62-4047-9605-7822b6534524
lysis,,,,"The breakdown or destruction of cells. Lysis may be caused by chemical or physical damage, such as by drugs or injury, or infection.",,,71e419d3-efe9-445a-8531-aab5346ae173
macrophage,,Histiocyte,"antigen-presenting cell, white blood cell","A type of white blood cell that fights infection by ingesting foreign substances, such as microorganisms and dead cells. Macrophages also act as antigen-presenting cells to stimulate other immune cells to fight infection.",,,bc8ac126-2a3e-476f-81c1-6adc8472ec2e
magnetic resonance imaging,MRI,Nuclear Magnetic Resonance (NMR),,A noninvasive procedure that uses magnetic fields and radio waves to produce three-dimensional computerized images of areas inside the body.,,,194f5c28-6856-43e7-ae82-3c3eb6fcf976
maintenance therapy,,"chronic maintenance therapy, secondary prophylaxis",Primary Prophylaxis,"Ongoing use of or addition of a drug(s) or other treatment to help a primary treatment succeed or to prevent a reoccurrence of a prior, successfully controlled disease or infection. For example, lifelong maintenance therapy with anti-retroviral drugs (ARVs) can prevent HIV infection from advancing to AIDS.",Living with HIV,,9fc7b97c-8ea7-488a-95b5-f2901e616d3e
major histocompatibility complex,MHC,,,"A group of molecules found on the surface of almost every cell in the body. Major histocompatibility complex (MHC) molecules present protein fragments (peptides) to immune cells. If the cells recognize the peptides as foreign, the body mounts an immune response. In humans, MHC molecules are called human leukocyte antigens (HLAs).",,,59bf3fd5-1440-434a-a1b6-2a31f12648c3
malabsorption syndrome,,,,"A group of symptoms that occur when the small intestine cannot absorb nutrients properly. Symptoms include abdominal pain, bloating, gas, and diarrhea. Malabsorption syndrome may be caused by certain diseases, infections, or drugs.",,,586f7e0e-7af4-4bcf-b743-1b610777b09a
malaise,,,,"A general feeling of discomfort, illness, or lack of well-being. Malaise can occur as part of a hypersensitivity reaction to certain anti-retroviral (ARV) drugs.",,,b745e3da-7d9b-419f-af4b-dbec9ea12106
malaria,,,opportunistic infection,"A potentially life-threatening disease caused by four strains of protozoa called Plasmodium. Malaria is spread by the bite of a mosquito infected with the protozoa. Malaria is endemic in parts of Asia, Africa, Central and South America, Oceania, and certain Caribbean islands. Symptoms of malaria can include extreme exhaustion, chills, profuse sweating, fever, vomiting, diarrhea, other flu-like symptoms, and jaundice. Both malaria and HIV cause substantial morbidity and mortality worldwide, particularly in sub-Saharan Africa. Recent evidence shows important interactions between the two diseases.",Advanced,,e33ecc48-825a-4d12-ad4a-82f544b178b7
malignant,,,,"Threatening to health or life, such as a malignant disease. Malignant may also refer to the uncontrolled, invasive growth of cells, such as in a malignant tumor.",,,7bcf7d59-b603-4407-8b41-c4ae2e114fdd
mast cell,,mastocyte,"antigen, white blood cell","A type of white blood cell found in almost all tissues, particularly in the skin. Mast cells help the body fight infection by triggering an inflammatory response to an antigen.",,,d759bd4c-0d80-461e-9b31-ebec7540554d
medication event monitoring system,MEMS,,adherence,A device used to monitor medication adherence. A medication event monitoring system (MEMS) monitor consists of a conventional medicine container fitted with a special closure that records the time and date each time the container is opened and closed.,,,4139123b-eb4d-43b9-9a2c-507bcf969fe6
MEDLINE,,,National Library of Medicine,A federal database that contains references and summaries for biomedical and life science publications from around the world. Most of the publications are scholarly journals. Some of the listings include a link to the free full text of the article. Medline is a service of the U.S. National Library of Medicine.,,,9359ef16-af0b-4b43-a2f8-b555811917d2
MedlinePlus,,,National Library of Medicine,"A health website produced by the U.S. National Library of Medicine. The website offers patients and their families and friends reliable, up-to-date information about diseases, conditions, and wellness issues. The information is written in easy-to-understand language and includes videos and illustrations.",,,675e4733-1a16-4a5f-933f-27099e5f801b
memory lymphocyte,,memory cell,"antigen, B lymphocyte, lymphocyte, T lymphocyte",A type of lymphocyte. Memory lymphocytes can recognize an antigen introduced into the body during a prior infection or vaccination. Memory lymphocytes mount a rapid and strong immune response when exposed to an antigen for a second time. Both T lymphocytes (T cells) and B lymphocytes (B cells) can become memory cells.,Living with HIV,,d45d4dfc-ce33-4966-914c-3ab31c86ca39
meningitis,,,,"Inflammation of the meninges, which are three layers of tissue that cover and protect the brain and spinal cord. Meningitis may be caused by a bacterial, fungal, or viral infection; drug allergies; cancer; or other diseases. Symptoms may include fever, headache, vomiting, malaise, and stiff neck. If left untreated, meningitis can lead to convulsions, coma, and death.",,,5d2764a5-a551-4744-a162-dc50da349881
messenger RNA,mRNA,,"ribonucleic acid, Protein",A type of RNA that carries the genetic information needed to make a protein.,,,df1c7e2d-d74f-4e38-8694-06500cb33429
metabolic,,,metabolism,Pertaining to metabolism.,,,7a9b6f41-9edd-4409-9f3d-fea1070c6779
metabolic syndrome,,syndrome X,,"A combination of risk factors that increase the risk for heart disease, diabetes, and stroke. To be diagnosed with metabolic syndrome, a person must have at least three of the following metabolic risk factors: high blood pressure, abdominal obesity, high triglyceride levels, low levels of high-density lipoprotein (HDL) cholesterol, or high fasting blood sugar levels. Use of some anti-retroviral (ARV) drugs may cause or worsen risk factors associated with metabolic syndrome.",,,d9f2f531-9b66-4f68-85ff-02de1343d502
metabolism,,,,All of the physical and chemical processes that produce or use energy within the body. Drug metabolism refers to the breakdown of drugs in the body.,,,83ef7469-df0e-42d2-8d4e-8c5ea497e933
microbicide,,,"Microorganism, Microbicide Trials Network","A drug, chemical, or other substance used to kill microorganisms. The term is used specifically for substances that prevent or reduce the transmission of sexually transmitted infections, such as HIV.",Advanced,,46f2ac8b-81bf-45de-8297-78a587db6b77
Microbicide Trials Network,MTN,,"clinical trial, microbicide",A federally funded clinical trials network. Many Micobicide Trials Network (MTN) trials focus on evaluating microbicides and other promising HIV prevention approaches.,Advanced,,6d98ebaf-7743-4233-baf0-cfbd4ad54018
microorganism,,Microbe,,"An organism that can be seen only through a microscope. Microorganisms include bacteria, protozoans, and fungi. Although viruses are not considered living organisms, they are sometimes classified as microorganisms.",,,7ef478f4-8172-4f70-9153-fcc3d0b60183
microsporidiosis,,,opportunistic infection,"An infection caused by several species of the protozoan parasite microsporidia. Microsporidia usually infect the gastrointestinal tract but may also infect other parts of the body, such as the eyes, respiratory tract, or brain. The most common symptoms are chronic diarrhea and wasting, but symptoms vary greatly depending on the site of infection. Microsporidiosis occurs primarily in people with weakened immune systems, especially people with HIV or people who have undergone organ transplants.",Advanced,,14574300-c670-4f48-9a75-9937fd9f5d22
mitochondria,,,Mitochondrial Toxicity,A structural unit within cells that produces energy through a process called cellular respiration.,,,e7a70be6-f9f7-4394-8221-3e3c823377ff
mitochondrial toxicity,,,Mitochondria,"Damage to mitochondria. Mitochondrial toxicity may affect different parts of the body, including the heart, nerves, muscles, pancreas, kidneys, and liver. Conditions resulting from mitochondrial toxicity can include muscle weakness, inflammation of the pancreas (pancreatitis), high levels of lactic acid in the blood (lactic acidosis), changes in distribution and amount of body fat (lipodystrophy), and fatty liver (hepatic steatosis). Use of certain anti-retroviral (ARV) drugs may cause mitochondrial toxicity.",,,634c9442-8db5-40bd-a92e-e178a53db083
mixed-tropic HIV,,,"CCR5, R5-tropic virus, CXCR4, X4-tropic virus","HIV that includes both CCR5-tropic and CXCR4-tropic virus. To enter a host CD4 cell, HIV must first attach to a CD4 receptor, then attach to either a CCR5 or CXCR4 coreceptor, and finally fuse its membrane with the CD4 cell membrane.",Advanced,,dda1945d-6fb7-4cf0-94fb-bbd7ec649535
modified directly observed therapy,m-DOT,,,"A variation of directly observed therapy (DOT). Modified-DOT (m-DOT) is when a health care professional watches a person take some, but not all, medication doses.",,,3c06738b-9de7-44ac-ad80-cc0249f1db0e
Molluscum contagiosum,,,,"A common, usually mild skin disease caused by the virus Molluscum contagiosum. The disease causes small bumps that can appear anywhere on the body. Molluscum contagiosum can spread from one part of the body to another or from an infected person to another person (including via sexual contact). In people with weakened immune systems, such as people with HIV, the bumps of molluscum contagiosum may grow very large, spread rapidly, and be harder to treat.",Advanced,,446e070c-a699-41e5-9bf3-581b2da1a315
monoinfection,,,Coinfection,When a person has only one infection.,,,8191e828-c925-41a9-a4f2-16d5f18a6e37
mononeuropathy,,,Neuropathy,"Neuropathy that damages only one nerve, resulting in symptoms that are linked specifically to the affected nerve.",,,049f0564-5097-496b-9c48-d8cfc0138100
monotherapy,,,anti-retroviral therapy,Using only one drug to treat an infection or disease. Monotherapy for the treatment of HIV is not recommended outside of a clinical trial. The optimal regimen for initial treatment of HIV includes three anti-retroviral (ARV) drugs from at least two different HIV drug classes.,Advanced,,70898e1d-eb66-4354-be3d-dfc4e8f49bae
morbidity,,,,Disease state or symptom. Morbidity rate is a measure of the frequency of occurrence of disease among a defined population during a specified time period.,,,0edc6c36-4b49-4fce-a273-3cdfc04c424a
mortality,,,,The state of being mortal (subject to death). Mortality rate is a measure of the frequency of occurrence of death among a defined population during a specified time period.,,,8426cfda-3e0a-493d-9f5b-d8605dc7fde5
mother-to-child transmission,MTCT,"maternal-child transmission, perinatal transmission",prevention of perinatal transmission,"When an HIV-infected mother passes HIV to her infant during pregnancy, labor and delivery, or breastfeeding (through breast milk). anti-retroviral (ARV) drugs are given to HIV-infected women during pregnancy and to their infants after birth to reduce the risk of mother-to-child transmission (MTCT) of HIV. ARV drugs also protect the health of HIV-infected women during pregnancy and after delivery.",Advanced,https://aidsinfo.nih.gov/images/glossaryimages/Mother-to-Child-Transmission-600.jpg,49f388ce-2079-493a-bd35-0a88efcf52df
MSM,,,,Acronym for men who have sex with men.,,,3f51494b-8366-4913-a39b-de837ad65601
MSMW,,,,Acronym for men who have sex with men and women.,,,23eae9be-d7af-4716-b2ab-6f2799a41ab5
mucocutaneous,,,,"Pertaining to the mucous membranes and skin. Mucocutaneous areas of the body include the mouth, eyes, vagina, and anus.",,,27ae587e-055c-444d-bbad-f0f69fc15a00
Multicenter AIDS Cohort Study,MACS,,,"Started in 1984, the study involves collection of biological specimens and medical and behavioral data on MSM (men who have sex with men) in order to study the natural and treated history of HIV. The Multicenter AIDS Cohort Study (MACS) has significantly contributed to the understanding of HIV, AIDS, and the effects of anti-retroviral therapy (ART).",Advanced,,540adecf-a2c7-429c-bf5c-4f1b4ae727ef
multiple-drug-resistant tuberculosis,MDR-TB,,"drug resistance, extensively-drug-resistant tuberculosis, tuberculosis","A form of tuberculosis (TB) that is resistant to at least the two most effective antibiotics commonly used to cure TB infection (isoniazid and rifampin). People infected with multiple drug resistant-TB (MDR-TB) are at high risk for treatment failure. They are also at risk for further drug resistance, which can lead to life-threatening disease—extensively drug resistant tuberculosis (XDR-TB).",,,fab1c185-60e2-44d1-8eb1-8cc320867929
